Player,height,weight,collage,born,birth_city,birth_state
Bob Harris,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee
Bob Harrison,201.0,88.0,Oklahoma State University,1927.0,Linden,Tennessee
Billy Hassett,180.0,81.0,University of Notre Dame,1921.0,,
Marshall Hawkins,190.0,92.0,University of Tennessee,1924.0,Huntington,West Virginia
Bill Henry,206.0,97.0,Rice University,1924.0,Dallas,Texas
Bill Herman,190.0,77.0,Mount Union College,1924.0,,
Kleggie Hermsen,206.0,102.0,University of Minnesota,1923.0,Hill City,Minnesota
Sonny Hertzberg,178.0,79.0,City College of New York,1922.0,Brooklyn,New York
Paul Hoffman,188.0,88.0,Purdue University,1925.0,,
Joe Holland,193.0,83.0,University of Kentucky,1925.0,,
Red Holzman*,178.0,79.0,City College of New York,1920.0,Brooklyn,New York
Gene James,193.0,81.0,Marshall University,1925.0,Ironton,Ohio
Howie Janotta,190.0,83.0,Seton Hall University,1924.0,,
Tony Jaros,190.0,83.0,University of Minnesota,1920.0,Minneapolis,Minnesota
Buddy Jeannette*,180.0,79.0,Washington & Jefferson College,1917.0,New Kensington,Pennsylvania
Arnie Johnson,196.0,107.0,Bemidji State University,1920.0,Gonvick,Minnesota
Ralph Johnson,180.0,77.0,Huntington University,1921.0,,
Wah Wah,180.0,77.0,,1921.0,,
Noble Jorgensen,206.0,103.0,University of Iowa,1925.0,,
George Kaftan,190.0,86.0,College of the Holy Cross,1928.0,New York,New York
Leo Katkaveck,183.0,83.0,North Carolina State University,1923.0,,
Jack Kerris,198.0,97.0,Loyola University of Chicago,1925.0,,
Bob Kinney,198.0,97.0,Rice University,1920.0,Fort Scott,Kansas
Walt Kirk,190.0,78.0,University of Illinois at Urbana-Champaign,1924.0,Mount Vernon,Illinois
Leo Klier,188.0,77.0,University of Notre Dame,1923.0,Washington,Indiana
Duane Klueh,190.0,79.0,Indiana State University,1926.0,Bottineau,North Dakota
Lee Knorek,201.0,97.0,University of Detroit Mercy,1921.0,Warsaw,Poland
Milo Komenich,201.0,96.0,University of Wyoming,1920.0,,
Leo Kubiak,180.0,72.0,Bowling Green State University,1927.0,,
Frank Kudelka,188.0,87.0,Saint Mary's College of California,1925.0,,
Walt Lautenbach,188.0,83.0,University of Wisconsin,1922.0,,
Tony Lavelli,190.0,83.0,Yale University,1926.0,Somerville,Massachusetts
Ed Leede,190.0,83.0,Dartmouth College,1927.0,,
Andrew Levane,188.0,86.0,St. John's University,1920.0,Brooklyn,New York
Freddie Lewis,188.0,88.0,Eastern Kentucky University,1921.0,Brooklyn,New York
Ron Livingstone,208.0,99.0,University of Wyoming,1925.0,,
John Logan,188.0,79.0,Indiana University,1921.0,Richmond,Indiana
Ray Lumpp,185.0,80.0,New York University,1923.0,Brooklyn,New York
Ed Macauley*,203.0,83.0,Saint Louis University,1928.0,St. Louis,Missouri
Johnny Macknowski,183.0,81.0,Seton Hall University,1923.0,,
John Mahnken,203.0,99.0,Georgetown University,1922.0,New Jersey,New Jersey
John Mandic,193.0,92.0,Oregon State University,1919.0,Los Angeles,California
Slater Martin*,178.0,77.0,University of Texas at Austin,1925.0,El Mina,Texas
Ariel Maughan,193.0,86.0,Utah State University,1923.0,Salt Lake City,Utah
Matt Mazza,190.0,95.0,Michigan State University,1923.0,Niagara Falls,New York
Mike McCarron,180.0,81.0,Seton Hall University,1922.0,,
Dick McGuire*,183.0,81.0,St. John's University,1926.0,Huntington,New York
Bones McKinney,198.0,83.0,University of North Carolina,1919.0,Lowlands,North Carolina
Mal McMullen,196.0,95.0,Xavier University,1927.0,,
Dick Mehen,196.0,88.0,University of Tennessee,1922.0,,
Ken Menke,183.0,76.0,University of Illinois at Urbana-Champaign,1922.0,,
Stan Miasek,196.0,95.0,,1924.0,,
Ed Mikan,203.0,104.0,DePaul University,1925.0,,
George Mikan*,208.0,111.0,DePaul University,1924.0,Joliet,Illinois
Vern Mikkelsen*,201.0,104.0,Hamline University,1928.0,Fresno,California
Al Miksis,201.0,95.0,Western Illinois University,1928.0,,
Murray Mitchell,201.0,95.0,Sam Houston State University,1923.0,,
Leo Mogus,193.0,86.0,Youngstown State University,1921.0,Ohio,
Max Morris,188.0,88.0,Northwestern University,1925.0,,
Joe Mullaney,183.0,74.0,College of the Holy Cross,1925.0,Long Island,New York
Jerry Nagel,183.0,86.0,Loyola University of Chicago,1928.0,Chicago,Illinois
Jack Nichols,201.0,100.0,University of Washington,1926.0,,
Richie Niemiera,185.0,74.0,University of Notre Dame,1921.0,Chicago,Illinois
Paul Noel,193.0,83.0,University of Kentucky,1924.0,Midway,Kentucky
Jim Nolan,203.0,95.0,Georgia Institute of Technology,1927.0,Macon,Georgia
Johnny Norlander,190.0,81.0,Hamline University,1921.0,Virginia,Minnesota
George Nostrand,203.0,88.0,University of Wyoming,1924.0,Uniondale,New York
Mike Novak,206.0,99.0,Loyola University of Chicago,1915.0,Chicago,Illinois
Dermie O'Connell,183.0,78.0,College of the Holy Cross,1928.0,,
Andy O'Donnell,185.0,81.0,Loyola College in Maryland,1925.0,,
Dick O'Keefe,188.0,83.0,Santa Clara University,1923.0,San Francisco,California
John Oldham,190.0,79.0,Western Kentucky University,1923.0,Beaver Dam,Kentucky
Gene Ollrich,180.0,72.0,Drake University,1922.0,Whiting,Indiana
Johnny Orr,190.0,88.0,Beloit College,1927.0,Yale,Kansas
Don Otten,208.0,108.0,Bowling Green State University,1921.0,Bellefontaine,Ohio
Mac Otten,201.0,99.0,Bowling Green State University,1925.0,Bellefontaine,Ohio
Red Owens,190.0,83.0,Baylor University,1925.0,,
Easy Parham,190.0,90.0,Texas Wesleyan University,1921.0,Fort Worth,Texas
Jack Parkinson,183.0,78.0,University of Kentucky,1924.0,Yorktown,Indiana
Charlie Parsley,188.0,79.0,Western Kentucky University,1925.0,,
Stan Patrick,188.0,83.0,University of Illinois at Urbana-Champaign,1922.0,,
Johnny Payak,193.0,78.0,Bowling Green State University,1926.0,,
Warren Perkins,190.0,86.0,Tulane University,1922.0,New Orleans,Louisiana
Ed Peterson,206.0,99.0,Cornell University,1924.0,,
Jack Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois
Andy Phillip*,188.0,88.0,University of Illinois at Urbana-Champaign,1922.0,Granite City,Illinois
Jim Pollard*,193.0,83.0,Stanford University,1922.0,Oakland,California
John Pritchard,206.0,99.0,Drake University,1927.0,,
Les Pugh,201.0,86.0,Ohio State University,1923.0,,
Don Putman,201.0,86.0,,1923.0,,
George Ratkovicz,198.0,99.0,,1922.0,Chicago,Illinois
Don Ray,196.0,86.0,Western Kentucky University,1921.0,Mt. Juliet,Tennessee
Chick Reiser,180.0,74.0,New York University,1914.0,,
Arnie Risen*,206.0,90.0,Ohio State University,1924.0,Williamstown,Kentucky
Tex Ritter,188.0,83.0,Eastern Kentucky University,1924.0,Richmond,Kentucky
Bill Roberts,206.0,95.0,University of Wyoming,1925.0,Fort Wayne,Indiana
Red Rocha,206.0,83.0,Oregon State University,1923.0,Hilo,Hawaii
Kenny Rollins,183.0,76.0,University of Kentucky,1923.0,Charlestown,Missouri
Bob Royer,178.0,70.0,Indiana State University,1927.0,,
Jerry Rullo,178.0,74.0,Temple University,1923.0,Philadelphia,Pennsylvania
Ed Sadowski,196.0,108.0,Seton Hall University,1917.0,Johnstown,Pennsylvania
Kenny Sailors,178.0,79.0,University of Wyoming,1921.0,Bushnell,Nebraska
Pep Saul,188.0,83.0,Seton Hall University,1924.0,,
Herm Schaefer,183.0,79.0,Indiana University,1918.0,Fort Wayne,Indiana
Marv Schatzman,196.0,90.0,Saint Louis University,1927.0,,
Fred Schaus,196.0,92.0,West Virginia University,1925.0,Newark,Ohio
Dolph Schayes*,203.0,99.0,New York University,1928.0,New York,New York
Milt Schoon,201.0,104.0,Valparaiso University,1922.0,,
Howie Schultz,198.0,90.0,Hamline University,1922.0,St. Paul,Minnesota
Dick Schulz,188.0,87.0,University of Wisconsin,1917.0,Racine,Wisconsin
Fred Scolari,178.0,81.0,University of San Francisco,1922.0,San Francisco,California
Wayne See,190.0,86.0,Northern Arizona University,1923.0,Clemenceau,Arizona
Glen Selbo,190.0,88.0,University of Wisconsin,1926.0,,
Rollie Seltz,178.0,74.0,Hamline University,1924.0,McIntosh,Minnesota
Jim Seminoff,188.0,86.0,University of Southern California,1922.0,Los Angelse,California
George Senesky,188.0,81.0,Saint Joseph's University,1922.0,Mahanoy City,Pennsylvania
Paul Seymour,185.0,81.0,University of Toledo,1928.0,Toledo,Ohio
Carl Shaeffer,190.0,83.0,University of Alabama,1924.0,Delphi,Indiana
Howie Shannon,188.0,79.0,Kansas State University,1923.0,Manhattan,Kansas
Charley Shipp,185.0,90.0,Catholic University of America,1913.0,,
Connie Simmons,203.0,100.0,,1925.0,Newark,New Jersey
Belus Smawley,185.0,88.0,Appalachian State University,1918.0,Golden Valley,North Carolina
Jack Smiley,190.0,86.0,University of Illinois at Urbana-Champaign,1922.0,Sandwich,Illinois
Chips Sobek,183.0,81.0,University of Notre Dame,1920.0,,
Odie Spears,196.0,92.0,Western Kentucky University,1925.0,,
Art Spector,193.0,90.0,Villanova University,1920.0,Philadelphia,Pennsylvania
Ed Stanczak,185.0,83.0,,1921.0,,
Gene Stump,188.0,83.0,DePaul University,1923.0,,
Mike Todorovich,196.0,99.0,University of Wyoming,1923.0,,
Jack Toomay,198.0,97.0,University of the Pacific,1922.0,Ontario,California
Bob Tough,183.0,83.0,St. John's University,1920.0,New York,New York
Blackie Towery,193.0,95.0,Western Kentucky University,1920.0,Caldwell,Kentucky
Dick Triptow,183.0,77.0,DePaul University,1922.0,Chicago,Illinois
Butch Van,183.0,77.0,,1922.0,,
Gene Vance,190.0,88.0,University of Illinois at Urbana-Champaign,1923.0,,
Ernie Vandeweghe,190.0,88.0,Colgate University,1928.0,Montreal,Canada
Floyd Volker,193.0,92.0,University of Wyoming,1921.0,Casper,Wyoming
Whitey Von,193.0,92.0,,1921.0,,
Clint Wager,198.0,95.0,Saint Mary's University of Minnesota,1920.0,Winona,Minnesota
Danny Wagner,183.0,77.0,University of Texas at Austin,1922.0,,
Brady Walker,198.0,92.0,Brigham Young University,1921.0,Provo,Utah
Paul Walther,188.0,72.0,University of Tennessee,1927.0,Covington,Kentucky
Bobby Wanzer*,183.0,77.0,Seton Hall University,1921.0,Brooklyn,New York
Murray Wier,175.0,70.0,University of Iowa,1926.0,Grand View,Iowa
D.C. Wilcutt,175.0,70.0,,1926.0,,
Bob Wood,175.0,70.0,Northern Illinois University,1921.0,,
Max Zaslofsky,188.0,77.0,St. John's University,1925.0,Brooklyn,New York
Paul Arizin*,193.0,86.0,Villanova University,1928.0,Philadelphia,Pennsylvania
Ed Beach,190.0,90.0,West Virginia University,1929.0,,
Leon Blevins,188.0,72.0,University of Arizona,1926.0,,
Ike Borsavage,203.0,99.0,Temple University,1924.0,Plymouth,Pennsylvania
Art Burris,196.0,99.0,University of Tennessee,1924.0,,
Gerry Calabrese,185.0,79.0,St. John's University,1925.0,Hoboken,New Jersey
Cal Christensen,196.0,95.0,University of Toledo,1927.0,,
Nat Clifton*,198.0,99.0,Xavier University of Louisiana,1922.0,Little Rock,Arkansas
Chuck Cooper,196.0,95.0,Duquesne University,1926.0,,
Bob Cousy*,185.0,79.0,College of the Holy Cross,1928.0,New York,New York
Hank DeZonie,198.0,97.0,Clark Atlanta University,1922.0,,
Bob Donham,188.0,86.0,Ohio State University,1926.0,,
Ray Ellefson,203.0,104.0,West Texas A&M University,1922.0,Brookings,South Dakota
Larry Foust,206.0,97.0,La Salle University,1928.0,Painesville,Ohio
Ed Gayda,193.0,95.0,Washington State University,1927.0,,
Joe Hutton,185.0,77.0,Hamline University,1928.0,,
Bob Lavoy,201.0,83.0,Western Kentucky University,1926.0,,
Earl Lloyd*,196.0,90.0,West Virginia State University,1928.0,,
Don Lofgran,196.0,90.0,University of San Francisco,1928.0,Oakland,California
Norm Mager,196.0,83.0,City College of New York,1926.0,,
Joe McNamee,198.0,95.0,University of San Francisco,1926.0,,
Chuck Mrazovich,196.0,83.0,Eastern Kentucky University,1924.0,,
Ken Murray,188.0,86.0,St. Bonaventure University,1928.0,,
Tommy O'Keefe,188.0,83.0,Georgetown University,1928.0,Jersey City,New Jersey
Kevin O'Shea,188.0,79.0,University of Notre Dame,1925.0,San Francisco,California
Don Rehfeldt,201.0,95.0,University of Wisconsin,1927.0,Chicago,Illinois
Jim Riffey,193.0,90.0,Tulane University,1923.0,,
Alan Sawyer,196.0,88.0,"University of California, Los Angeles",1928.0,Long Beach,California
Herb Scherer,206.0,96.0,Long Island University,1928.0,,
Dick Schnittker,196.0,90.0,Ohio State University,1928.0,Kelleys Island,Ohio
Bill Sharman*,185.0,79.0,University of Southern California,1926.0,Abilene,Texas
Don Barksdale*,198.0,90.0,"University of California, Los Angeles",1923.0,Oakland,California
Elmer Behnke,201.0,95.0,Bradley University,1929.0,Rockford,Illinois
Stan Brown,190.0,90.0,,1929.0,,
Ed Dahler,196.0,86.0,Duquesne University,1926.0,,
Nate DeLong,198.0,99.0,University of Wisconsin-River Falls,1926.0,,
Dick Dickey,185.0,79.0,North Carolina State University,1926.0,Grant County,Indiana
Jake Fendley,183.0,81.0,Northwestern University,1929.0,,
Jerry Fowler,203.0,104.0,University of Missouri,1927.0,,
Lew Hitch,203.0,90.0,Kansas State University,1929.0,Griggsville,Illinois
Mel Hutchins,198.0,90.0,Brigham Young University,1928.0,Sacramento,California
Neil Johnston*,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio
Jack Kiley,185.0,77.0,Syracuse University,1929.0,,
George King,183.0,79.0,University of Charleston,1928.0,Charleston,West Virginia
John McConathy,196.0,88.0,Northwestern State University,1930.0,Sailes,Louisiana
Alfred McGuire*,188.0,81.0,St. John's University,1928.0,New York,New York
Dave Minor,188.0,83.0,"University of California, Los Angeles",1922.0,Missouri,
Ralph O'Brien,175.0,72.0,Butler University,1928.0,Henshaw,Kentucky
Wally Osterkorn,196.0,97.0,University of Illinois at Urbana-Champaign,1928.0,,
Mel Payton,193.0,83.0,Tulane University,1926.0,,
John Pilch,190.0,83.0,University of Wyoming,1925.0,Sheridan,Wyoming
Ray Ragelis,193.0,92.0,Northwestern University,1928.0,,
Sam Ranzino,185.0,83.0,North Carolina State University,1927.0,Gary,Indiana
John Rennicke,188.0,83.0,Drake University,1929.0,,
Don Savage,190.0,92.0,LeMoyne College,1928.0,,
Chuck Share,211.0,106.0,Bowling Green State University,1927.0,,
Zeke Sinicola,178.0,74.0,Niagara University,1929.0,,
Whitey Skoog,180.0,81.0,University of Minnesota,1926.0,Duluth,Minnesota
Jim Slaughter,211.0,95.0,University of South Carolina,1928.0,,
Bill Tosheff,185.0,79.0,Indiana University,1926.0,,
Bob Wilson,193.0,83.0,West Virginia State University,1926.0,,
Jim Baechtold,193.0,92.0,Eastern Kentucky University,1927.0,McKeesport,Pennsylvania
Jim Brasco,185.0,77.0,New York University,1931.0,Brooklyn,New York
Dick Bunt,183.0,77.0,New York University,1930.0,Queens,New York
Gene Conley,203.0,102.0,Washington State University,1930.0,Muskogee,Oklahoma
Pete Darcey,201.0,98.0,Oklahoma State University,1930.0,,
Blaine Denning,188.0,79.0,Lawrence Technological University,1930.0,,
Danny Finn,185.0,83.0,St. John's University,1928.0,,
Dick Groat,180.0,81.0,Duke University,1930.0,Wilkinsburg,Pennsylvania
Don Hanrahan,201.0,90.0,Loyola University of Chicago,1929.0,,
Don Henriksen,201.0,102.0,University of California,1929.0,,
Jim Holstein,190.0,81.0,University of Cincinnati,1930.0,,
Bob Lochmueller,196.0,83.0,University of Louisville,1927.0,,
Mo Mahoney,188.0,92.0,Brown University,1927.0,,
Al Masino,178.0,78.0,Canisius College,1928.0,,
Jack McCloskey,188.0,86.0,University of Pennsylvania,1925.0,Mahanoy City,Pennsylvania
Bucky McConnell,178.0,77.0,Marshall University,1928.0,,
George McLeod,196.0,90.0,Texas Christian University,1931.0,,
Jack McMahon,185.0,83.0,St. John's University,1928.0,,
Monk Meineke,201.0,94.0,University of Dayton,1930.0,Dayton,Ohio
Eddie Miller,203.0,102.0,Syracuse University,1931.0,,
Bill Mlkvy,193.0,86.0,Temple University,1931.0,Palmerton,Pennsylvania
Jim Mooney,196.0,97.0,Villanova University,1930.0,,
Bob Naber,190.0,83.0,University of Louisville,1929.0,,
John O'Boyle,188.0,83.0,Colorado State University,1928.0,,
Mike O'Neill,190.0,95.0,University of California,1928.0,,
Claude Overton,188.0,88.0,East Central University,1927.0,,
Ralph Polson,201.0,90.0,Whitworth,1929.0,,
Bob Priddy,190.0,86.0,New Mexico State University,1930.0,,
Moe Radovich,183.0,72.0,University of Wyoming,1929.0,,
Sherwin Raiken,188.0,83.0,Villanova University,1928.0,,
Gene Rhodes,185.0,77.0,Western Kentucky University,1927.0,,
Dick Surhoff,193.0,95.0,Long Island University,1929.0,,
Mark Workman,206.0,97.0,West Virginia University,1930.0,Charleston,West Virginia
Zeke Zawoluk,201.0,97.0,St. John's University,1930.0,Brooklyn,New York
Don Ackerman,183.0,83.0,Long Island University,1930.0,New York,New York
Don Asmonga,188.0,83.0,Alliance College,1928.0,West Mifflin,Pennsylvania
Ernie Barrett,190.0,81.0,Kansas State University,1929.0,Pratt,Kansas
Ernie Beck,193.0,86.0,University of Pennsylvania,1931.0,Philadelphia,Pennsylvania
Irv Bemoras,190.0,83.0,University of Illinois at Urbana-Champaign,1930.0,,
Bill Bolger,196.0,92.0,Georgetown University,1931.0,,
Walt Davis,203.0,92.0,Texas A&M University,1931.0,Beaumont,Texas
Gene Dyker,198.0,102.0,DePaul University,1930.0,,
Ed Earle,190.0,86.0,Loyola University of Chicago,1927.0,,
Ray Felix,211.0,99.0,Long Island University,1930.0,New York,New York
Jim Fritsche,203.0,95.0,Hamline University,1931.0,,
Jack George,188.0,86.0,La Salle University,1928.0,Swissvale,Pennsylvania
Bato Govedarica,180.0,83.0,DePaul University,1928.0,,
Norm Grekin,196.0,81.0,La Salle University,1930.0,Philadelphia,Pennsylvania
Rollen Hans,188.0,95.0,Long Island University,1931.0,,
Bob Houbregs*,201.0,95.0,University of Washington,1932.0,Vancouver,Canada
Billy Kenville,188.0,84.0,St. Bonaventure University,1930.0,Elmhurst,New York
Dick Knostman,198.0,97.0,Kansas State University,1931.0,Wamego,Kansas
Clyde Lovellette*,206.0,106.0,University of Kansas,1929.0,Petersburg,Indiana
Jim Luisi,188.0,81.0,St. Francis College,1928.0,,
Jack Molinas,198.0,90.0,Columbia University,1931.0,New York,New York
Jim Neal,211.0,106.0,Wofford College,1930.0,,
Paul Nolen,211.0,106.0,Texas Tech University,1929.0,,
Bob Peterson,196.0,95.0,University of Oregon,1932.0,San Mateo,California
James Phelan,196.0,88.0,DePaul University,1925.0,Chicago,Illinois
Connie Rea,190.0,79.0,Centenary College of Louisiana,1935.0,,
Frank Reddout,196.0,88.0,Syracuse University,1935.0,,
Al Roges,193.0,88.0,Long Island University,1930.0,,
Ed Smith,198.0,81.0,Harvard University,1929.0,West Jefferson,Ohio
Joe Smyth,190.0,97.0,Niagara University,1929.0,,
Don Sunderlage,185.0,81.0,University of Illinois at Urbana-Champaign,1929.0,Roselle,Illinois
Norm Swanson,198.0,95.0,University of Detroit Mercy,1930.0,Chicago,Illinois
Hal Uplinger,193.0,83.0,Long Island University,1929.0,,
Isaac Walthour,180.0,73.0,,1930.0,New York City,New York
George Yardley*,196.0,86.0,Stanford University,1928.0,Hollywood,California
Don Anielak,201.0,86.0,Missouri State University,1930.0,,
Tom Brennan,190.0,88.0,Villanova University,1930.0,,
Bob Carney,190.0,77.0,Bradley University,1932.0,,
Fred Christ,193.0,95.0,Fordham University,1930.0,,
Bert Cook,190.0,83.0,Utah State University,1929.0,,
Larry Costello,185.0,84.0,Niagara University,1931.0,Minoa,New York
George Dempsey,188.0,86.0,King's College,1929.0,Philadelphia,Pennsylvania
Fred Diute,190.0,95.0,St. Bonaventure University,1929.0,,
Dick Farley,193.0,86.0,Indiana University,1932.0,,
Chuck Grigsby,196.0,86.0,University of Dayton,1928.0,Dayton,Ohio
Herm Hedderick,196.0,77.0,Canisius College,1930.0,Erie,Pennsylvania
Ed Kalafat,198.0,111.0,University of Minnesota,1932.0,,
Mike Kearns,188.0,80.0,Princeton University,1929.0,Trenton,New Jersey
Red Kerr,206.0,104.0,University of Illinois at Urbana-Champaign,1932.0,Chicago,Illinois
Dan King,198.0,99.0,Western Kentucky University,1931.0,,
Bob Knight,188.0,83.0,,1929.0,,
Ronnie MacGilvray,188.0,83.0,St. John's University,1930.0,,
Tom Marshall,193.0,97.0,Western Kentucky University,1931.0,,
Phil Martin,190.0,86.0,University of Toledo,1928.0,,
Ken McBride,190.0,86.0,University of Maryland Eastern Shore,1928.0,,
Carl McNulty,190.0,83.0,Purdue University,1930.0,,
Jackie Moore,196.0,81.0,La Salle University,1932.0,Philadelphia,Pennsylvania
Red Morrison,203.0,99.0,University of Idaho,1932.0,,
Boris Nachamkin,198.0,95.0,New York University,1933.0,,
Togo Palazzi,193.0,92.0,College of the Holy Cross,1932.0,Union City,New Jersey
Bob Pettit*,206.0,92.0,Louisiana State University,1932.0,Baton Rouge,Louisiana
Frank Ramsey*,190.0,86.0,University of Kentucky,1931.0,Corydon,Kentucky
Dick Rosenthal,196.0,92.0,University of Notre Dame,1930.0,,
Frank Selvy,190.0,81.0,Furman University,1932.0,Corbin,Kentucky
Gene Shue,188.0,77.0,University of Maryland,1931.0,Baltimore,Maryland
Art Spoelstra,206.0,99.0,Western Kentucky University,1932.0,,
Jim Tucker,201.0,83.0,Duquesne University,1932.0,Paris,Kentucky
Jack Turner,193.0,77.0,Western Kentucky University,1930.0,Bedford,Indiana
Bobby Watson,183.0,72.0,University of Kentucky,1930.0,Central City,Kentucky
Skippy Whitaker,185.0,81.0,University of Kentucky,1930.0,,
Jesse Arnelle,196.0,99.0,Pennsylvania State University,1933.0,New Rochelle,New York
Dick Atha,188.0,86.0,Indiana State University,1931.0,Otterbein,Indiana
Don Bielke,201.0,108.0,Valparaiso University,1931.0,,
Ed Conlin,196.0,90.0,Fordham University,1933.0,,
Red Davis,201.0,99.0,St. John's University,1932.0,,
Corky Devlin,196.0,88.0,George Washington University,1931.0,,
